manufacturer_id,nm_manufacturer,country
1329,Andalucía S.A.S.,Colombia
4838,Flores de los Andes S.A.S,Colombia
5573,GYPSO,Ecuador
9266,Flores Equinocciales S.A.,Ecuador
12491,ECUATORIAN FLOWER GRUNKO CIA. LTDA.,Ecuador
13517,Artropica,Colombia
32858,Joygardens,Ecuador
37613,EMIHANA CIA. LTDA.,Ecuador
42623,C.I Flores de Aposentos,Colombia
42632,La Gaitana Farms S.A.S.,Colombia
51548,FLOR ETERNA SISA HUINAI S.A.,Ecuador
51574,Flores Silvestres S.A.,Colombia
51746,DENMAR S.A.,Ecuador
54024,Nevado Ecuador SA,Ecuador
54403,HOSA S.A.,Colombia
54425,Jaroma Roses S.A.,Colombia
57213,Bicco Farms S.A.S.,Colombia
57338,C.I. Sunshine Bouquet S.A.S.,Colombia
57344,Inversiones Ponte Tresa S.A.,Ecuador
57345,Rosas del Monte Rosemonte S.A.,Ecuador
57346,FLORES ECUATORIANAS DE CALIDAD FLORECAL S.A.,Ecuador
57347,Agroflora,Ecuador
57348,FLORÍCOLA SAN ISIDRO LABRADOR FLORSANI CÍA. LTDA,Ecuador
57349,UTOPIA FARMS SAS - ESMERALDA SUN,Ecuador
57350,UTOPIA FARMS SAS - LA TOLITA,Ecuador
57351,UTOPIA FARMS SAS - LA MORA,Ecuador
57352,UTOPIA FARMS SAS - EL CHIVAN,Ecuador
57353,Mystic Flowers S.A.,Ecuador
57354,PICASSOROSES CIA. LTDA.,Ecuador
57356,PRODUCNORTE S.A.,Ecuador
57357,Qualisa Roses,Ecuador
57360,SISAPAMBA ROSAS Y ROSAS S.C.C.,Ecuador
57361,Agrinag S.A.,Ecuador
57362,AGRIROSE AGRICOLA EL ROSARIO CIA. LTDA.,Ecuador
57363,"AGROCOEX S.A., AGROPROMOTORA DEL COTOPAXI",Ecuador
57365,Ceres Farms cia ltd.,Ecuador
57366,Dali Roses Growerfarms,Ecuador
57372,Agrivaldani S.A.,Ecuador
57373,FLORES DEL COTOPAXI S.A.,Ecuador
57377,PLANTACIONES EL TREBOL PLANTREB CIA. LTDA.,Ecuador
57379,NARANJO ROSES ECUADOR S.A.,Ecuador
57383,FLORICULTURA JOSARFLOR S.A.,Ecuador
57384,Agroganadera Espinosa Chiriboga S.A.,Ecuador
57389,NATUFLOR S.A.,Ecuador
57391,JARDINES PIAVERI,Ecuador
57396,"ECUANROS S.A., ECUADORIAN NEW ROSES",Ecuador
57407,Floraroma,Ecuador
57419,Los Aromas Farms,Colombia
57426,ARCOFLOR FLORES ARCOIRIS S.A.,Ecuador
57432,CANANVALLEY FLOWERS S.A.,Ecuador
57444,KIARA FLOWERS,Ecuador
57448,Ecoroses S.A.,Ecuador
57451,Albra Roses,Ecuador
57468,C.I. Flores de Funza S.A.S.,Colombia
57514,VALLE VERDE,Ecuador
57517,STAMPSYBOX CÍA. LTDA.,Ecuador
57518,Anniroses (Natbeauty S.A),Ecuador
57519,AAASACORPORATION S.A.,Ecuador
57521,BELLAROSA BELLARO S.A.,Ecuador
57522,FLORICOLA LA ROSALEDA S.A.,Ecuador
57523,GLAMOUR,Ecuador
57524,Agroterranorte,Ecuador
57525,FLORIFRUT FLORES Y FRUTAS S.A.,Ecuador
57526,Azulina flowers,Colombia
57527,Fanshore international Ltd.,Colombia
57528,FLORES DE LA COLINA FLODECOL S.A.,Ecuador
57529,Flores de Tenjo,Colombia
57530,FLOWER VILLAGE CIA. LTDA.,Ecuador
57531,Hannah Gardens,Ecuador
57533,Flores LATITUD CERO S.A.,Ecuador
57534,VALLEFLOR FLORES DEL VALLE CIA. LTDA.,Ecuador
57535,Matiz Roses,Ecuador
57536,Monterosas Farms,Ecuador
57537,Roma Verde S.A.,Ecuador
57538,ROSE CONNECTION ROSECON CIA. LTDA.,Ecuador
57539,ROSAMINA S.A,Colombia
57541,COLIBRI FLOWERS.S.A,Colombia
57545,E.Q.R EQUATOROSES C.A.,Ecuador
57546,FLORES VERDES S.A. FLORDES,Ecuador
57551,Cantiza,Ecuador
57552,Agrícola Circasia S.A.S,Colombia
57554,NEGRETE STAR ROSES,Ecuador
57559,NINTANGA S.A.,Ecuador
57728,Napy,Colombia
57744,Agrícola El Cactus,Colombia
57745,Agroindustrial Don Eusebio,Colombia
57746,Agrícola El Redil S.A.S.,Colombia
57750,Alexandra Farms,Colombia
57751,Flores Sagaró,Colombia
57752,Flores El Capiro,Colombia
57753,Mongibello,Colombia
57754,Red de empresas GRCHIA,Colombia
57755,Excellence Flowers Ltda,Colombia
57756,C.I. Agromonte S.A.,Colombia
57757,Ayurá S.A.S,Colombia
57758,C.I. Maxiflores Ltda,Colombia
57759,C.I. Flores de la Vega - Grupo Vegaflor,Colombia
57767,Elite Flower Farmers,Colombia
57778,Wayuu Flowers,Colombia
57779,San Valentino S.A.S.,Colombia
57813,Flores Milonga,Colombia
57817,C.I. ZION FLOWERS S.A.S. - Finca San Miguel,Colombia
57873,Hojaverde CIA. LTDA,Ecuador
57876,Roses and Roses,Ecuador
57879,FLORMARE S.A.,Ecuador
58016,AGRICOLA CUNDAY S.A. EN REORGANIZACION,Colombia
58052,Compañía Agropromotora del Cotopaxi,Ecuador
58088,Luisiana Farms SAS,Colombia
58116,LA HACIENDA,Colombia
58221,Jardines de los Andes S.A.S.,Colombia
58222,Mercedes S.A.,Colombia
58224,NAYRE FLOWERS COLOMBIA SAS,Colombia
58225,Flores de la Campiña S.A. - Finca La Campiña,Colombia
58228,FLORES TIBA SA - FINCA TIBITAMA,Colombia
58229,FLORES SAN JUAN S.A,Colombia
58230,Pétalos San Antonio S.A.S.,Colombia
58235,PRODUCTORES MUNICIPIO DE ENVIGADO,Colombia
58237,Rosas del Neusa S.A.,Colombia
58238,Rosas de Sopo S.A.,Colombia
58265,Bouquets Mixtos y CIA S.A C.I.,Colombia
58266,Finca Flores del Lago - Flores del Lago S.A.S. C.I.,Colombia
58267,Finca El Refugio,Colombia
58268,Finca Guamito 2-Guamito S.A.S,Colombia
58269,Fincas Guaymaral Guensuca,Colombia
58270,Finca Las Palmas y Palermo - Inverpalmas S.A.S.,Colombia
58271,C.I. Falcon Farms de Colombia S.A.,Colombia
58272,C.I. Calla Farms S.A.S.,Colombia
58274,Cultivos Spring S.A.S.,Colombia
58314,C.I. FLORES DE ALTAGRACIA S.A.S.,Colombia
58331,C.I. Cultivos Miramonte S.A.,Colombia
58332,Propagar Plantas,Colombia
58333,TAHAMI & CULTIFLORES S.A.,Colombia
58429,True Flowers SAS,Colombia
58443,Agroexpotaciones de Colombia SAS,Colombia
58447,Agropecuaria La Laguna,Colombia
58462,Ecoflower SAS,Colombia
58478,La Rosa De La Alegria,Ecuador
58481,Flor Encanto,Ecuador
58487,Alpa Roses,Ecuador
58494,C.I. Andean Fields SAS,Colombia
58505,Rumhora S.A.,Colombia
58506,Agroindustria Colombia Verde SAS,Colombia
